Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
0,-85.7152252,514555,849.0,4349.0,-221,350,-7721
1,-83.0073166,514555,849.0,4371.222222222223,-221,350,-7721
2,-80.6205673,514555,849.0,4393.444444444444,-221,350,-7721
3,-77.2313919,514555,849.0,4415.666666666667,-221,350,-7721
4,-76.0347748,514555,849.0,4437.888888888889,-221,350,-7721
5,-75.0131226,514555,849.0,4460.111111111111,-221,350,-7721
6,-74.7601547,514555,849.0,4482.333333333333,-221,350,-7721
7,-75.955452,514555,849.0,4504.555555555556,-221,350,-7721
8,-78.1302719,514555,849.0,4526.777777777777,-221,350,-7721
9,-81.4053726,514555,849.0,4549.0,-221,350,-7721
10,-74.0787964,514555,871.2222222222222,4349.0,-221,350,-7721
11,-83.333992,514555,871.2222222222222,4371.222222222223,-221,350,-7721
12,-81.6346817,514555,871.2222222222222,4393.444444444444,-221,350,-7721
13,-77.5132675,514555,871.2222222222222,4415.666666666667,-221,350,-7721
14,-75.3554993,514555,871.2222222222222,4437.888888888889,-221,350,-7721
15,-74.1684875,514555,871.2222222222222,4460.111111111111,-221,350,-7721
16,-73.62323,514555,871.2222222222222,4482.333333333333,-221,350,-7721
17,-74.6885452,514555,871.2222222222222,4504.555555555556,-221,350,-7721
18,-76.4894943,514555,871.2222222222222,4526.777777777777,-221,350,-7721
19,-81.3602524,514555,871.2222222222222,4549.0,-221,350,-7721
20,-72.9149628,514555,893.4444444444445,4349.0,-221,350,-7721
21,-82.0752487,514555,893.4444444444445,4371.222222222223,-221,350,-7721
22,-77.8701401,514555,893.4444444444445,4393.444444444444,-221,350,-7721
23,-75.3276749,514555,893.4444444444445,4415.666666666667,-221,350,-7721
24,-73.6196899,514555,893.4444444444445,4437.888888888889,-221,350,-7721
25,-72.8707352,514555,893.4444444444445,4460.111111111111,-221,350,-7721
26,-72.8827362,514555,893.4444444444445,4482.333333333333,-221,350,-7721
27,-74.2149811,514555,893.4444444444445,4504.555555555556,-221,350,-7721
28,-76.63974,514555,893.4444444444445,4526.777777777777,-221,350,-7721
29,-80.6257858,514555,893.4444444444445,4549.0,-221,350,-7721
30,-71.6082993,514555,915.6666666666666,4349.0,-221,350,-7721
31,-77.8977203,514555,915.6666666666666,4371.222222222223,-221,350,-7721
32,-75.4742584,514555,915.6666666666666,4393.444444444444,-221,350,-7721
33,-73.5388718,514555,915.6666666666666,4415.666666666667,-221,350,-7721
34,-71.8738937,514555,915.6666666666666,4437.888888888889,-221,350,-7721
35,-71.4746246,514555,915.6666666666666,4460.111111111111,-221,350,-7721
36,-71.9999847,514555,915.6666666666666,4482.333333333333,-221,350,-7721
37,-73.6289749,514555,915.6666666666666,4504.555555555556,-221,350,-7721
38,-77.1000595,514555,915.6666666666666,4526.777777777777,-221,350,-7721
39,-80.5943451,514555,915.6666666666666,4549.0,-221,350,-7721
40,-70.5757675,514555,937.8888888888889,4349.0,-221,350,-7721
41,-75.6616135,514555,937.8888888888889,4371.222222222223,-221,350,-7721
42,-73.294487,514555,937.8888888888889,4393.444444444444,-221,350,-7721
43,-72.1746979,514555,937.8888888888889,4415.666666666667,-221,350,-7721
44,-71.1740646,514555,937.8888888888889,4437.888888888889,-221,350,-7721
45,-71.1224823,514555,937.8888888888889,4460.111111111111,-221,350,-7721
46,-71.9353256,514555,937.8888888888889,4482.333333333333,-221,350,-7721
47,-74.0305099,514555,937.8888888888889,4504.555555555556,-221,350,-7721
48,-76.5293274,514555,937.8888888888889,4526.777777777777,-221,350,-7721
49,-81.5021744,514555,937.8888888888889,4549.0,-221,350,-7721
50,-70.3223648,514555,960.1111111111111,4349.0,-221,350,-7721
51,-74.3797836,514555,960.1111111111111,4371.222222222223,-221,350,-7721
52,-72.3265457,514555,960.1111111111111,4393.444444444444,-221,350,-7721
53,-70.8236618,514555,960.1111111111111,4415.666666666667,-221,350,-7721
54,-70.5523605,514555,960.1111111111111,4437.888888888889,-221,350,-7721
55,-70.8154449,514555,960.1111111111111,4460.111111111111,-221,350,-7721
56,-71.4743195,514555,960.1111111111111,4482.333333333333,-221,350,-7721
57,-73.7307434,514555,960.1111111111111,4504.555555555556,-221,350,-7721
58,-77.3573532,514555,960.1111111111111,4526.777777777777,-221,350,-7721
59,-84.149437,514555,960.1111111111111,4549.0,-221,350,-7721
60,-70.4267502,514555,982.3333333333333,4349.0,-221,350,-7721
61,-74.489975,514555,982.3333333333333,4371.222222222223,-221,350,-7721
62,-72.6656036,514555,982.3333333333333,4393.444444444444,-221,350,-7721
63,-71.5074005,514555,982.3333333333333,4415.666666666667,-221,350,-7721
64,-71.0684738,514555,982.3333333333333,4437.888888888889,-221,350,-7721
65,-71.5632477,514555,982.3333333333333,4460.111111111111,-221,350,-7721
66,-72.2468109,514555,982.3333333333333,4482.333333333333,-221,350,-7721
67,-75.4667358,514555,982.3333333333333,4504.555555555556,-221,350,-7721
68,-79.5854721,514555,982.3333333333333,4526.777777777777,-221,350,-7721
69,-87.0691757,514555,982.3333333333333,4549.0,-221,350,-7721
70,-72.468338,514555,1004.5555555555555,4349.0,-221,350,-7721
71,-75.2168884,514555,1004.5555555555555,4371.222222222223,-221,350,-7721
