Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
0,-50.4488678,3026,-147.0,2000.0,100,110,-60
1,-61.5661316,3026,-147.0,2050.0,100,110,-60
2,-58.5887222,3026,-147.0,2100.0,100,110,-60
3,-49.7232361,3026,-147.0,2150.0,100,110,-60
4,-49.2579498,3026,-147.0,2200.0,100,110,-60
5,-49.6957932,3026,-97.0,2000.0,100,110,-60
6,-56.9925919,3026,-97.0,2050.0,100,110,-60
7,-54.4100571,3026,-97.0,2100.0,100,110,-60
8,-45.211937,3026,-97.0,2150.0,100,110,-60
9,-44.8124542,3026,-97.0,2200.0,100,110,-60
10,-49.6880646,3026,-47.0,2000.0,100,110,-60
11,-56.5893326,3026,-47.0,2050.0,100,110,-60
12,-53.8864365,3026,-47.0,2100.0,100,110,-60
13,-45.2889633,3026,-47.0,2150.0,100,110,-60
14,-44.9704666,3026,-47.0,2200.0,100,110,-60
15,-54.3481445,3026,3.0,2000.0,100,110,-60
16,-59.9502792,3026,3.0,2050.0,100,110,-60
17,-57.4752197,3026,3.0,2100.0,100,110,-60
18,-49.003685,3026,3.0,2150.0,100,110,-60
19,-48.7224197,3026,3.0,2200.0,100,110,-60
20,-61.6649628,3026,53.0,2000.0,100,110,-60
21,-65.4108353,3026,53.0,2050.0,100,110,-60
22,-63.3395081,3026,53.0,2100.0,100,110,-60
23,-56.7919235,3026,53.0,2150.0,100,110,-60
24,-56.8913116,3026,53.0,2200.0,100,110,-60
