Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
-1,-36.7191696,6837,883,2423,-1338,-12,-62
0,-33.406105,6837,783.0,2323.0,-1338,-12,-62
1,-32.3337097,6837,783.0,2389.6666666666665,-1338,-12,-62
2,-45.1310501,6837,783.0,2456.3333333333335,-1338,-12,-62
3,-65.3572006,6837,783.0,2523.0,-1338,-12,-62
4,-50.4558945,6837,849.6666666666666,2323.0,-1338,-12,-62
5,-24.0872345,6837,849.6666666666666,2389.6666666666665,-1338,-12,-62
6,-26.8302727,6837,849.6666666666666,2456.3333333333335,-1338,-12,-62
7,-42.6933975,6837,849.6666666666666,2523.0,-1338,-12,-62
8,-34.7290268,6837,916.3333333333334,2323.0,-1338,-12,-62
9,-26.0287018,6837,916.3333333333334,2389.6666666666665,-1338,-12,-62
10,-28.9222794,6837,916.3333333333334,2456.3333333333335,-1338,-12,-62
11,-45.4703445,6837,916.3333333333334,2523.0,-1338,-12,-62
12,-43.2462082,6837,983.0,2323.0,-1338,-12,-62
13,-34.1908875,6837,983.0,2389.6666666666665,-1338,-12,-62
14,-37.736824,6837,983.0,2456.3333333333335,-1338,-12,-62
15,-53.1801453,6837,983.0,2523.0,-1338,-12,-62
