Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
0,-88.1444702,514469,6500.0,4200.0,-200,350,-7731
1,-199.999969,514469,6500.0,4300.0,-200,350,-7731
2,-80.2325287,514469,6500.0,4400.0,-200,350,-7731
3,-83.0970459,514469,6500.0,4500.0,-200,350,-7731
4,-85.716301,514469,6600.0,4200.0,-200,350,-7731
5,-62.6059494,514469,6600.0,4300.0,-200,350,-7731
6,-52.9375153,514469,6600.0,4400.0,-200,350,-7731
7,-59.1489487,514469,6600.0,4500.0,-200,350,-7731
8,-69.7737122,514469,6700.0,4200.0,-200,350,-7731
9,-44.0897217,514469,6700.0,4300.0,-200,350,-7731
10,-31.1000023,514469,6700.0,4400.0,-200,350,-7731
11,-38.6271591,514469,6700.0,4500.0,-200,350,-7731
12,-65.6603012,514469,6800.0,4200.0,-200,350,-7731
13,-40.4456863,514469,6800.0,4300.0,-200,350,-7731
14,-26.5132217,514469,6800.0,4400.0,-200,350,-7731
15,-34.1169662,514469,6800.0,4500.0,-200,350,-7731
