Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
-1,-30.3481483,6837,850,2390,-1338,-12,-62
0,-34.8315048,6837,750.0,2290.0,-1338,-12,-62
1,-34.3935089,6837,750.0,2356.6666666666665,-1338,-12,-62
2,-42.3011551,6837,750.0,2423.3333333333335,-1338,-12,-62
3,-59.1204681,6837,750.0,2490.0,-1338,-12,-62
4,-44.4506836,6837,816.6666666666666,2290.0,-1338,-12,-62
5,-26.6035309,6837,816.6666666666666,2356.6666666666665,-1338,-12,-62
6,-26.3977661,6837,816.6666666666666,2423.3333333333335,-1338,-12,-62
7,-37.6215897,6837,816.6666666666666,2490.0,-1338,-12,-62
8,-27.6520691,6837,883.3333333333334,2290.0,-1338,-12,-62
9,-24.6434402,6837,883.3333333333334,2356.6666666666665,-1338,-12,-62
10,-24.3958588,6837,883.3333333333334,2423.3333333333335,-1338,-12,-62
11,-35.6400757,6837,883.3333333333334,2490.0,-1338,-12,-62
12,-33.3513336,6837,950.0,2290.0,-1338,-12,-62
13,-29.5798492,6837,950.0,2356.6666666666665,-1338,-12,-62
14,-29.7731705,6837,950.0,2423.3333333333335,-1338,-12,-62
15,-40.9516525,6837,950.0,2490.0,-1338,-12,-62
