Iteration,Power (dBm),Axis,X,Y,Z,U,V,W
0,-24.846077,U,514569,6972,4424,-121,350,-7721
1,-24.843502,Z,514569,6972,4524,-121,350,-7721
2,-24.8461761,Z,514569,6972,4624,-121,350,-7721
3,-24.8467674,Y,514569,6872,4624,-121,350,-7721
4,-24.8449631,Y,514569,6972,4624,-121,350,-7721
5,-24.8442879,V,514569,6972,4624,-121,250,-7721
6,-24.844532,X,514469,6972,4624,-121,250,-7721
7,-24.8465424,Y,514469,6872,4624,-121,250,-7721
8,-24.843956,V,514469,6872,4624,-121,350,-7721
9,-24.8430519,W,514469,6872,4624,-121,350,-7621
10,-24.8403168,U,514469,6872,4624,-221,350,-7621
11,-24.8384972,V,514469,6872,4624,-221,250,-7621
12,-24.8418121,Y,514469,6972,4624,-221,250,-7621
13,-24.8414383,Y,514469,7072,4624,-221,250,-7621
14,-24.8411636,U,514469,7072,4624,-321,250,-7621
15,-24.8397903,Z,514469,7072,4724,-321,250,-7621
16,-24.8389359,U,514469,7072,4724,-221,250,-7621
17,-24.8417816,X,514569,7072,4724,-221,250,-7621
18,-24.8389168,X,514469,7072,4724,-221,250,-7621
19,-24.840435,Z,514469,7072,4624,-221,250,-7621
20,-24.8314972,X,514369,7072,4624,-221,250,-7621
21,-24.8297997,Y,514369,6972,4624,-221,250,-7621
22,-24.8277817,Z,514369,6972,4724,-221,250,-7621
23,-24.823616,U,514369,6972,4724,-121,250,-7621
24,-24.822937,V,514369,6972,4724,-121,350,-7621
