Iteration,Power (dBm),Axis,X,Y,Z,U,V,W
0,-199.999969,U,514569,6772,4450,0,50,-7631
1,-199.999969,Y,514569,6872,4450,0,50,-7631
2,-199.999969,Y,514569,6772,4450,0,50,-7631
3,-199.999969,U,514569,6772,4450,-100,50,-7631
4,-199.999969,Y,514569,6672,4450,-100,50,-7631
5,-199.999969,V,514569,6672,4450,-100,150,-7631
6,-199.999969,Z,514569,6672,4550,-100,150,-7631
7,-199.999969,V,514569,6672,4550,-100,50,-7631
8,-199.999969,W,514569,6672,4550,-100,50,-7731
9,-199.999969,Z,514569,6672,4450,-100,50,-7731
10,-199.999969,W,514569,6672,4450,-100,50,-7631
11,-199.999969,U,514569,6672,4450,0,50,-7631
12,-199.999969,Z,514569,6672,4350,0,50,-7631
13,-199.999969,X,514469,6672,4350,0,50,-7631
14,-199.999969,U,514469,6672,4350,-100,50,-7631
15,-199.999969,X,514369,6672,4350,-100,50,-7631
16,-199.999969,Y,514369,6772,4350,-100,50,-7631
17,-199.999969,W,514369,6772,4350,-100,50,-7731
18,-199.999969,X,514269,6772,4350,-100,50,-7731
19,-199.999969,Y,514269,6672,4350,-100,50,-7731
