Iteration,Power (dBm),Axis,X,Y,Z,U,V,W
0,-36.7533798,V,514469,6822,4500,-200,250,-7731
1,-36.7817764,W,514469,6822,4500,-200,250,-7631
2,-36.7264252,Y,514469,6922,4500,-200,250,-7631
3,-36.7451401,W,514469,6922,4500,-200,250,-7531
4,-36.7358627,W,514469,6922,4500,-200,250,-7631
5,-36.7156601,U,514469,6922,4500,-300,250,-7631
6,-36.7947845,X,514369,6922,4500,-300,250,-7631
7,-36.7401276,X,514469,6922,4500,-300,250,-7631
8,-36.7424545,V,514469,6922,4500,-300,150,-7631
9,-36.7163086,U,514469,6922,4500,-200,150,-7631
10,-36.7008972,U,514469,6922,4500,-100,150,-7631
11,-36.8042145,Z,514469,6922,4600,-100,150,-7631
12,-36.7658081,Z,514469,6922,4700,-100,150,-7631
13,-36.755394,W,514469,6922,4700,-100,150,-7731
14,-36.7330475,X,514569,6922,4700,-100,150,-7731
15,-36.6282196,Y,514569,7022,4700,-100,150,-7731
16,-36.6979446,V,514569,7022,4700,-100,50,-7731
17,-36.6931,U,514569,7022,4700,-200,50,-7731
18,-36.7651978,V,514569,7022,4700,-200,150,-7731
19,-36.7667923,Y,514569,7122,4700,-200,150,-7731
20,-36.6772003,X,514669,7122,4700,-200,150,-7731
21,-36.6249466,Y,514669,7222,4700,-200,150,-7731
