Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
-1,-42.7644501,6837,783,2423,-1338,-12,-62
0,-48.8026733,6837,683.0,2323.0,-1338,-12,-62
1,-47.9858017,6837,683.0,2423.0,-1338,-12,-62
2,-68.6299667,6837,683.0,2523.0,-1338,-12,-62
3,-57.9197693,6837,783.0,2323.0,-1338,-12,-62
4,-29.8441391,6837,783.0,2423.0,-1338,-12,-62
5,-33.3689461,6837,783.0,2523.0,-1338,-12,-62
6,-50.1348343,6837,883.0,2323.0,-1338,-12,-62
7,-24.3997612,6837,883.0,2423.0,-1338,-12,-62
8,-26.9878235,6837,883.0,2523.0,-1338,-12,-62
