Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
0,-52.7248993,3066,-337,-228.0,100,110,-100
1,-48.55793,3066,-337,-205.4736842105263,100,110,-100
2,-44.0318375,3066,-337,-182.94736842105263,100,110,-100
3,-39.9496918,3066,-337,-160.42105263157896,100,110,-100
4,-37.2727356,3066,-337,-137.89473684210526,100,110,-100
5,-35.5426788,3066,-337,-115.36842105263158,100,110,-100
6,-34.8201065,3066,-337,-92.84210526315789,100,110,-100
7,-35.057869,3066,-337,-70.31578947368422,100,110,-100
8,-36.3391876,3066,-337,-47.78947368421052,100,110,-100
9,-38.8046875,3066,-337,-25.26315789473682,100,110,-100
10,-42.3387985,3066,-337,-2.7368421052631504,100,110,-100
11,-47.2523804,3066,-337,19.78947368421052,100,110,-100
12,-53.8351593,3066,-337,42.31578947368422,100,110,-100
13,-61.1149597,3066,-337,64.84210526315792,100,110,-100
14,-67.8769684,3066,-337,87.36842105263156,100,110,-100
15,-75.3794022,3066,-337,109.89473684210526,100,110,-100
16,-87.6434326,3066,-337,132.42105263157896,100,110,-100
17,-199.999969,3066,-337,154.94736842105266,100,110,-100
18,-199.999969,3066,-337,177.47368421052636,100,110,-100
19,-199.999969,3066,-337,200.0,100,110,-100
