Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
0,-199.999969,514569,6672.0,4380.0,-221,350,-7721
1,-88.3553543,514569,6672.0,4430.0,-221,350,-7721
2,-199.999969,514569,6672.0,4480.0,-221,350,-7721
3,-199.999969,514569,6672.0,4530.0,-221,350,-7721
4,-199.999969,514569,6672.0,4580.0,-221,350,-7721
5,-77.2254105,514569,6722.0,4380.0,-221,350,-7721
6,-75.4999466,514569,6722.0,4430.0,-221,350,-7721
7,-77.2493134,514569,6722.0,4480.0,-221,350,-7721
8,-86.4637909,514569,6722.0,4530.0,-221,350,-7721
9,-199.999969,514569,6722.0,4580.0,-221,350,-7721
10,-65.5581818,514569,6772.0,4380.0,-221,350,-7721
11,-62.4076233,514569,6772.0,4430.0,-221,350,-7721
12,-65.0410538,514569,6772.0,4480.0,-221,350,-7721
13,-70.816452,514569,6772.0,4530.0,-221,350,-7721
14,-82.8551712,514569,6772.0,4580.0,-221,350,-7721
15,-52.1137619,514569,6822.0,4380.0,-221,350,-7721
16,-48.7934647,514569,6822.0,4430.0,-221,350,-7721
17,-51.5314102,514569,6822.0,4480.0,-221,350,-7721
18,-58.5056152,514569,6822.0,4530.0,-221,350,-7721
19,-68.0862961,514569,6822.0,4580.0,-221,350,-7721
20,-40.4570389,514569,6872.0,4380.0,-221,350,-7721
21,-36.8022308,514569,6872.0,4430.0,-221,350,-7721
22,-39.6703186,514569,6872.0,4480.0,-221,350,-7721
23,-47.2458191,514569,6872.0,4530.0,-221,350,-7721
24,-58.4082184,514569,6872.0,4580.0,-221,350,-7721
