Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
-1,-32.4047012,6837,817,2423,-1338,18,-112
0,-44.4533844,6837,717.0,2323.0,-1338,18,-112
1,-44.2208557,6837,717.0,2389.6666666666665,-1338,18,-112
2,-49.6369019,6837,717.0,2456.3333333333335,-1338,18,-112
3,-61.7397079,6837,717.0,2523.0,-1338,18,-112
4,-46.2611465,6837,783.6666666666666,2323.0,-1338,18,-112
5,-37.1471329,6837,783.6666666666666,2389.6666666666665,-1338,18,-112
6,-35.2510757,6837,783.6666666666666,2456.3333333333335,-1338,18,-112
7,-41.7319031,6837,783.6666666666666,2523.0,-1338,18,-112
8,-27.4496727,6837,850.3333333333334,2323.0,-1338,18,-112
9,-29.8609695,6837,850.3333333333334,2389.6666666666665,-1338,18,-112
10,-26.5790482,6837,850.3333333333334,2456.3333333333335,-1338,18,-112
11,-32.3460007,6837,850.3333333333334,2523.0,-1338,18,-112
12,-24.1710815,6837,917.0,2323.0,-1338,18,-112
13,-27.2284851,6837,917.0,2389.6666666666665,-1338,18,-112
14,-23.8913689,6837,917.0,2456.3333333333335,-1338,18,-112
15,-28.7901459,6837,917.0,2523.0,-1338,18,-112
