Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
-1,-27.6258316,6837,850,2390,-1338,-7,-87
0,-31.1113014,6837,750.0,2290.0,-1338,-7,-87
1,-30.83498,6837,750.0,2356.6666666666665,-1338,-7,-87
2,-37.306572,6837,750.0,2423.3333333333335,-1338,-7,-87
3,-53.6150208,6837,750.0,2490.0,-1338,-7,-87
4,-38.5441513,6837,816.6666666666666,2290.0,-1338,-7,-87
5,-26.0795937,6837,816.6666666666666,2356.6666666666665,-1338,-7,-87
6,-24.4741821,6837,816.6666666666666,2423.3333333333335,-1338,-7,-87
7,-33.6893158,6837,816.6666666666666,2490.0,-1338,-7,-87
8,-26.7603989,6837,883.3333333333334,2290.0,-1338,-7,-87
9,-26.0274887,6837,883.3333333333334,2356.6666666666665,-1338,-7,-87
10,-24.6197166,6837,883.3333333333334,2423.3333333333335,-1338,-7,-87
11,-33.5506058,6837,883.3333333333334,2490.0,-1338,-7,-87
12,-34.1134338,6837,950.0,2290.0,-1338,-7,-87
13,-32.2550468,6837,950.0,2356.6666666666665,-1338,-7,-87
14,-31.6153336,6837,950.0,2423.3333333333335,-1338,-7,-87
15,-40.9602814,6837,950.0,2490.0,-1338,-7,-87
