Index,Power (dBm),X_Position,Y_Position,Z_Position,U_Position,V_Position,W_Position
-1,-36.0298691,6837,883,2423,-1338,-12,-62
0,-33.3949051,6837,783.0,2323.0,-1338,-12,-62
1,-32.528244,6837,783.0,2389.6666666666665,-1338,-12,-62
2,-45.7942429,6837,783.0,2456.3333333333335,-1338,-12,-62
3,-66.2017136,6837,783.0,2523.0,-1338,-12,-62
4,-51.7261047,6837,849.6666666666666,2323.0,-1338,-12,-62
5,-23.8841591,6837,849.6666666666666,2389.6666666666665,-1338,-12,-62
6,-27.040287,6837,849.6666666666666,2456.3333333333335,-1338,-12,-62
7,-43.5800934,6837,849.6666666666666,2523.0,-1338,-12,-62
8,-35.5682831,6837,916.3333333333334,2323.0,-1338,-12,-62
9,-25.9963799,6837,916.3333333333334,2389.6666666666665,-1338,-12,-62
10,-29.0145988,6837,916.3333333333334,2456.3333333333335,-1338,-12,-62
11,-46.0876312,6837,916.3333333333334,2523.0,-1338,-12,-62
12,-43.6861572,6837,983.0,2323.0,-1338,-12,-62
13,-34.1500626,6837,983.0,2389.6666666666665,-1338,-12,-62
14,-37.7903214,6837,983.0,2456.3333333333335,-1338,-12,-62
15,-53.8617935,6837,983.0,2523.0,-1338,-12,-62
