Iteration,Power (dBm),Axis,X,Y,Z,U,V,W
0,-25.4157829,U,1484,933,2227,-1200,0,0
1,-25.415287,U,1484,933,2227,-1300,0,0
2,-25.4206696,Y,1484,1033,2227,-1300,0,0
3,-25.4222565,V,1484,1033,2227,-1300,100,0
4,-25.4219437,X,1584,1033,2227,-1300,100,0
5,-25.4215698,W,1584,1033,2227,-1300,100,-100
6,-25.4189034,V,1584,1033,2227,-1300,0,-100
7,-25.4224319,X,1484,1033,2227,-1300,0,-100
8,-25.4281464,Z,1484,1033,2127,-1300,0,-100
9,-25.423748,Z,1484,1033,2027,-1300,0,-100
10,-25.4288559,W,1484,1033,2027,-1300,0,-200
11,-25.4320526,U,1484,1033,2027,-1400,0,-200
12,-25.4322662,V,1484,1033,2027,-1400,100,-200
13,-25.4240952,Z,1484,1033,1927,-1400,100,-200
14,-25.4272575,V,1484,1033,1927,-1400,200,-200
15,-25.4359016,Y,1484,933,1927,-1400,200,-200
16,-25.4395256,Z,1484,933,2027,-1400,200,-200
17,-25.4368286,U,1484,933,2027,-1500,200,-200
18,-25.4361382,X,1384,933,2027,-1500,200,-200
19,-25.4337273,X,1484,933,2027,-1500,200,-200
20,-25.4364853,X,1384,933,2027,-1500,200,-200
